Airline,Source,Destination,Distance,Departure_Time,Weather_Condition,Delay_Status
SpiceJet,Kolkata,Chennai,1348,Early Morning,Rain,On Time
SpiceJet,Bangalore,Hyderabad,554,Afternoon,Cloudy,On Time
Go First,Ahmedabad,Mumbai,504,Afternoon,Clear,Delayed
Air India,Bangalore,Kolkata,1800,Evening,Cloudy,On Time
SpiceJet,Bangalore,Pune,852,Afternoon,Storm,On Time
Go First,Delhi,Bangalore,2247,Evening,Clear,Delayed
SpiceJet,Chennai,Bangalore,331,Night,Fog,On Time
IndiGo,Hyderabad,Mumbai,702,Afternoon,Clear,On Time
SpiceJet,Pune,Bangalore,851,Afternoon,Cloudy,On Time
IndiGo,Kolkata,Delhi,1593,Evening,Cloudy,On Time
IndiGo,Ahmedabad,Delhi,909,Afternoon,Clear,Delayed
Akasa Air,Kolkata,Chennai,1305,Morning,Fog,Delayed
Vistara,Mumbai,Delhi,1385,Afternoon,Rain,On Time
Air India,Chennai,Delhi,2240,Early Morning,Clear,On Time
SpiceJet,Delhi,Mumbai,1367,Morning,Fog,Delayed
Akasa Air,Delhi,Mumbai,1379,Evening,Rain,On Time
Vistara,Delhi,Chennai,2125,Late Night,Rain,On Time
IndiGo,Hyderabad,Bangalore,553,Morning,Storm,Delayed
SpiceJet,Hyderabad,Delhi,1648,Morning,Storm,Delayed
Akasa Air,Pune,Delhi,1475,Afternoon,Cloudy,On Time
Air India,Hyderabad,Mumbai,739,Afternoon,Rain,Delayed
IndiGo,Kolkata,Delhi,1479,Early Morning,Fog,Delayed
Air India,Delhi,Bangalore,2063,Late Night,Fog,Delayed
Akasa Air,Pune,Bangalore,861,Morning,Cloudy,On Time
Go First,Kolkata,Hyderabad,1491,Morning,Cloudy,On Time
Air India,Mumbai,Kolkata,1665,Late Night,Storm,Delayed
IndiGo,Ahmedabad,Bangalore,1554,Morning,Storm,On Time
Air India,Pune,Delhi,1438,Evening,Rain,Delayed
Go First,Mumbai,Bangalore,1031,Morning,Fog,On Time
IndiGo,Hyderabad,Delhi,1512,Early Morning,Cloudy,On Time
Air India,Hyderabad,Mumbai,734,Late Night,Rain,On Time
Akasa Air,Hyderabad,Delhi,1503,Late Night,Fog,Delayed
Akasa Air,Delhi,Ahmedabad,905,Afternoon,Clear,On Time
Air India,Chennai,Kolkata,1424,Night,Fog,Delayed
Akasa Air,Hyderabad,Mumbai,736,Evening,Rain,Delayed
IndiGo,Pune,Chennai,1143,Early Morning,Cloudy,On Time
Go First,Bangalore,Ahmedabad,1509,Night,Fog,Delayed
IndiGo,Mumbai,Pune,146,Early Morning,Storm,On Time
Vistara,Kolkata,Mumbai,1648,Night,Cloudy,On Time
IndiGo,Delhi,Ahmedabad,910,Afternoon,Cloudy,On Time
Go First,Chennai,Bangalore,331,Night,Fog,Delayed
SpiceJet,Chennai,Kolkata,1346,Late Night,Fog,On Time
Vistara,Mumbai,Pune,152,Morning,Cloudy,On Time
Vistara,Chennai,Kolkata,1325,Night,Clear,On Time
Go First,Kolkata,Hyderabad,1560,Morning,Rain,On Time
Vistara,Kolkata,Pune,1791,Morning,Rain,Delayed
Air India,Kolkata,Hyderabad,1511,Evening,Clear,Delayed
Air India,Chennai,Bangalore,359,Late Night,Storm,On Time
Akasa Air,Chennai,Pune,1157,Late Night,Clear,On Time
IndiGo,Ahmedabad,Chennai,1944,Early Morning,Storm,On Time
Vistara,Chennai,Pune,1156,Afternoon,Storm,Delayed
Air India,Hyderabad,Ahmedabad,1184,Afternoon,Cloudy,On Time
Akasa Air,Hyderabad,Pune,578,Night,Cloudy,On Time
Go First,Bangalore,Kolkata,1926,Early Morning,Clear,On Time
IndiGo,Bangalore,Pune,853,Evening,Cloudy,On Time
Vistara,Mumbai,Pune,154,Morning,Cloudy,On Time
Go First,Ahmedabad,Mumbai,511,Afternoon,Storm,On Time
IndiGo,Chennai,Bangalore,335,Early Morning,Clear,Delayed
Vistara,Chennai,Ahmedabad,1979,Morning,Cloudy,Delayed
SpiceJet,Kolkata,Bangalore,1955,Morning,Rain,On Time
Air India,Mumbai,Chennai,1388,Evening,Fog,Delayed
Akasa Air,Delhi,Pune,1449,Evening,Fog,On Time
Air India,Chennai,Pune,1140,Morning,Clear,On Time
Air India,Chennai,Delhi,2144,Early Morning,Clear,On Time
Akasa Air,Bangalore,Mumbai,1008,Afternoon,Clear,On Time
Go First,Mumbai,Hyderabad,718,Afternoon,Clear,On Time
Vistara,Pune,Kolkata,1800,Afternoon,Cloudy,Delayed
Vistara,Hyderabad,Kolkata,1510,Early Morning,Clear,On Time
Akasa Air,Delhi,Hyderabad,1558,Early Morning,Clear,On Time
IndiGo,Pune,Mumbai,149,Late Night,Cloudy,On Time
Go First,Mumbai,Pune,143,Evening,Clear,Delayed
IndiGo,Hyderabad,Chennai,628,Morning,Rain,Delayed
Air India,Delhi,Kolkata,1594,Morning,Storm,Delayed
SpiceJet,Mumbai,Ahmedabad,530,Late Night,Cloudy,On Time
Air India,Bangalore,Pune,818,Morning,Cloudy,On Time
Air India,Ahmedabad,Bangalore,1548,Afternoon,Rain,Delayed
Akasa Air,Bangalore,Mumbai,1018,Night,Clear,On Time
IndiGo,Hyderabad,Delhi,1594,Late Night,Cloudy,On Time
IndiGo,Chennai,Delhi,2243,Late Night,Rain,Delayed
Vistara,Mumbai,Pune,141,Morning,Clear,On Time
Akasa Air,Chennai,Kolkata,1363,Late Night,Fog,On Time
Vistara,Delhi,Chennai,2078,Early Morning,Storm,On Time
Go First,Mumbai,Delhi,1466,Morning,Storm,Delayed
IndiGo,Mumbai,Hyderabad,711,Morning,Rain,On Time
Air India,Hyderabad,Chennai,630,Afternoon,Rain,Delayed
Vistara,Mumbai,Delhi,1410,Night,Storm,Delayed
SpiceJet,Kolkata,Mumbai,1735,Late Night,Fog,Delayed
SpiceJet,Kolkata,Delhi,1572,Evening,Fog,Delayed
Air India,Hyderabad,Ahmedabad,1255,Night,Rain,Delayed
SpiceJet,Ahmedabad,Kolkata,1970,Evening,Fog,On Time
SpiceJet,Hyderabad,Delhi,1590,Evening,Rain,Delayed
Air India,Chennai,Pune,1166,Afternoon,Fog,On Time
Vistara,Pune,Hyderabad,566,Afternoon,Rain,On Time
Vistara,Mumbai,Chennai,1399,Late Night,Fog,On Time
Air India,Pune,Delhi,1403,Afternoon,Storm,Delayed
IndiGo,Pune,Bangalore,870,Evening,Clear,On Time
Vistara,Hyderabad,Delhi,1611,Night,Rain,On Time
Air India,Kolkata,Pune,1915,Morning,Rain,Delayed
Go First,Mumbai,Chennai,1323,Evening,Clear,On Time
Akasa Air,Hyderabad,Delhi,1499,Morning,Fog,On Time
SpiceJet,Hyderabad,Bangalore,549,Morning,Cloudy,On Time
Go First,Chennai,Hyderabad,638,Morning,Clear,Delayed
Air India,Chennai,Delhi,2118,Late Night,Cloudy,On Time
SpiceJet,Delhi,Ahmedabad,925,Evening,Clear,On Time
Vistara,Bangalore,Hyderabad,552,Morning,Rain,Delayed
Go First,Chennai,Pune,1169,Early Morning,Storm,Delayed
Vistara,Hyderabad,Delhi,1639,Night,Clear,Delayed
Air India,Ahmedabad,Mumbai,531,Early Morning,Rain,On Time
Air India,Mumbai,Hyderabad,693,Evening,Cloudy,On Time
IndiGo,Chennai,Pune,1178,Early Morning,Clear,On Time
Akasa Air,Mumbai,Ahmedabad,527,Early Morning,Clear,On Time
SpiceJet,Mumbai,Kolkata,1689,Morning,Clear,Delayed
Akasa Air,Delhi,Mumbai,1355,Morning,Clear,On Time
Go First,Pune,Chennai,1246,Early Morning,Clear,On Time
Akasa Air,Bangalore,Delhi,2241,Afternoon,Cloudy,On Time
IndiGo,Ahmedabad,Hyderabad,1211,Early Morning,Clear,Delayed
SpiceJet,Delhi,Chennai,2225,Late Night,Clear,Delayed
Akasa Air,Delhi,Ahmedabad,947,Afternoon,Cloudy,On Time
Air India,Pune,Mumbai,146,Late Night,Storm,On Time
Akasa Air,Bangalore,Chennai,361,Early Morning,Cloudy,On Time
SpiceJet,Delhi,Bangalore,2172,Night,Rain,Delayed
SpiceJet,Pune,Chennai,1225,Late Night,Fog,Delayed
Air India,Chennai,Delhi,2273,Late Night,Clear,On Time
SpiceJet,Delhi,Kolkata,1472,Evening,Fog,On Time
SpiceJet,Hyderabad,Mumbai,736,Night,Fog,Delayed
IndiGo,Mumbai,Chennai,1275,Late Night,Fog,Delayed
Air India,Chennai,Mumbai,1340,Night,Cloudy,On Time
Vistara,Bangalore,Hyderabad,573,Evening,Fog,On Time
Akasa Air,Ahmedabad,Pune,662,Early Morning,Fog,On Time
Akasa Air,Pune,Bangalore,841,Night,Fog,On Time
Air India,Delhi,Ahmedabad,919,Night,Clear,Delayed
Vistara,Chennai,Bangalore,358,Afternoon,Cloudy,On Time
Air India,Hyderabad,Pune,549,Early Morning,Fog,Delayed
Air India,Hyderabad,Ahmedabad,1220,Afternoon,Cloudy,On Time
Go First,Chennai,Mumbai,1291,Afternoon,Cloudy,Delayed
Go First,Delhi,Bangalore,2180,Night,Clear,Delayed
Vistara,Chennai,Hyderabad,642,Early Morning,Rain,Delayed
Air India,Kolkata,Delhi,1507,Night,Cloudy,On Time
SpiceJet,Ahmedabad,Pune,695,Afternoon,Fog,On Time
SpiceJet,Pune,Hyderabad,554,Night,Cloudy,Delayed
IndiGo,Pune,Mumbai,145,Late Night,Cloudy,On Time
IndiGo,Ahmedabad,Delhi,907,Late Night,Storm,On Time
Akasa Air,Mumbai,Ahmedabad,526,Late Night,Storm,On Time
IndiGo,Ahmedabad,Kolkata,2001,Afternoon,Cloudy,On Time
Air India,Delhi,Chennai,2197,Night,Cloudy,On Time
IndiGo,Pune,Bangalore,876,Late Night,Clear,On Time
Vistara,Pune,Hyderabad,565,Afternoon,Storm,Delayed
Go First,Hyderabad,Ahmedabad,1239,Early Morning,Fog,On Time
Akasa Air,Pune,Ahmedabad,649,Morning,Rain,On Time
Akasa Air,Bangalore,Ahmedabad,1495,Afternoon,Storm,Delayed
Akasa Air,Kolkata,Chennai,1367,Afternoon,Fog,On Time
Go First,Mumbai,Ahmedabad,535,Late Night,Rain,On Time
Go First,Hyderabad,Chennai,642,Evening,Rain,Delayed
Vistara,Mumbai,Delhi,1344,Night,Rain,Delayed
Go First,Delhi,Bangalore,2253,Evening,Storm,Delayed
Go First,Kolkata,Delhi,1568,Evening,Cloudy,On Time
Air India,Mumbai,Pune,143,Morning,Cloudy,On Time
Go First,Ahmedabad,Chennai,1889,Evening,Fog,Delayed
Go First,Bangalore,Kolkata,1888,Afternoon,Fog,On Time
Akasa Air,Delhi,Bangalore,2118,Afternoon,Storm,On Time
Air India,Ahmedabad,Kolkata,1904,Night,Fog,Delayed
IndiGo,Ahmedabad,Delhi,978,Night,Clear,Delayed
Akasa Air,Kolkata,Bangalore,1839,Evening,Storm,Delayed
IndiGo,Mumbai,Delhi,1427,Early Morning,Storm,On Time
IndiGo,Bangalore,Ahmedabad,1465,Afternoon,Fog,Delayed
Air India,Pune,Bangalore,841,Early Morning,Cloudy,On Time
Akasa Air,Hyderabad,Mumbai,682,Late Night,Cloudy,On Time
Air India,Pune,Hyderabad,558,Evening,Rain,Delayed
Go First,Bangalore,Hyderabad,571,Morning,Clear,On Time
IndiGo,Ahmedabad,Chennai,1915,Evening,Clear,Delayed
IndiGo,Kolkata,Hyderabad,1563,Night,Storm,On Time
IndiGo,Delhi,Kolkata,1469,Morning,Cloudy,On Time
Go First,Hyderabad,Ahmedabad,1249,Night,Rain,Delayed
IndiGo,Delhi,Chennai,2236,Night,Storm,Delayed
Akasa Air,Kolkata,Ahmedabad,2042,Late Night,Fog,On Time
Go First,Chennai,Delhi,2079,Afternoon,Cloudy,On Time
SpiceJet,Chennai,Ahmedabad,1871,Evening,Rain,Delayed
SpiceJet,Bangalore,Chennai,331,Afternoon,Rain,Delayed
Go First,Kolkata,Delhi,1546,Early Morning,Storm,Delayed
IndiGo,Bangalore,Delhi,2050,Evening,Clear,Delayed
Vistara,Mumbai,Ahmedabad,513,Early Morning,Rain,On Time
IndiGo,Pune,Chennai,1160,Early Morning,Fog,On Time
SpiceJet,Pune,Mumbai,152,Night,Fog,On Time
SpiceJet,Hyderabad,Chennai,627,Late Night,Clear,On Time
IndiGo,Ahmedabad,Mumbai,530,Morning,Cloudy,Delayed
Go First,Chennai,Ahmedabad,1963,Morning,Rain,Delayed
Go First,Ahmedabad,Mumbai,541,Late Night,Fog,Delayed
Go First,Hyderabad,Pune,551,Evening,Storm,Delayed
SpiceJet,Bangalore,Kolkata,1789,Late Night,Rain,On Time
SpiceJet,Bangalore,Ahmedabad,1517,Early Morning,Rain,On Time
Akasa Air,Mumbai,Chennai,1361,Evening,Cloudy,Delayed
SpiceJet,Hyderabad,Ahmedabad,1218,Night,Cloudy,Delayed
Go First,Bangalore,Delhi,2152,Late Night,Storm,Delayed
Go First,Chennai,Hyderabad,615,Afternoon,Rain,Delayed
Vistara,Delhi,Ahmedabad,903,Night,Fog,On Time
IndiGo,Bangalore,Chennai,354,Early Morning,Cloudy,On Time
IndiGo,Kolkata,Delhi,1562,Morning,Storm,On Time
Akasa Air,Hyderabad,Ahmedabad,1215,Afternoon,Rain,Delayed
SpiceJet,Chennai,Pune,1171,Late Night,Rain,Delayed
Akasa Air,Kolkata,Bangalore,1837,Early Morning,Rain,Delayed
Akasa Air,Delhi,Ahmedabad,980,Evening,Fog,On Time
Vistara,Hyderabad,Mumbai,696,Afternoon,Rain,Delayed
SpiceJet,Kolkata,Mumbai,1689,Night,Fog,On Time
SpiceJet,Pune,Ahmedabad,659,Morning,Storm,Delayed
Vistara,Pune,Delhi,1418,Morning,Clear,On Time
Akasa Air,Chennai,Hyderabad,650,Afternoon,Storm,On Time
SpiceJet,Bangalore,Ahmedabad,1538,Early Morning,Rain,Delayed
SpiceJet,Chennai,Delhi,2130,Evening,Cloudy,Delayed
Akasa Air,Ahmedabad,Delhi,949,Early Morning,Clear,On Time
Akasa Air,Kolkata,Hyderabad,1474,Early Morning,Clear,On Time
Air India,Chennai,Kolkata,1353,Night,Storm,On Time
Air India,Bangalore,Hyderabad,569,Early Morning,Rain,On Time
Vistara,Hyderabad,Ahmedabad,1245,Late Night,Clear,On Time
SpiceJet,Bangalore,Chennai,334,Evening,Clear,Delayed
SpiceJet,Bangalore,Kolkata,1870,Morning,Cloudy,On Time
SpiceJet,Ahmedabad,Mumbai,529,Afternoon,Rain,On Time
Go First,Mumbai,Ahmedabad,511,Early Morning,Storm,On Time
Air India,Delhi,Bangalore,2127,Late Night,Storm,Delayed
Air India,Delhi,Kolkata,1491,Morning,Rain,Delayed
SpiceJet,Pune,Kolkata,1934,Early Morning,Storm,Delayed
SpiceJet,Chennai,Bangalore,355,Early Morning,Fog,On Time
Go First,Mumbai,Bangalore,941,Afternoon,Fog,Delayed
Vistara,Ahmedabad,Chennai,2038,Night,Rain,On Time
Air India,Delhi,Mumbai,1419,Morning,Cloudy,On Time
IndiGo,Delhi,Pune,1482,Afternoon,Rain,Delayed
Air India,Delhi,Pune,1540,Night,Clear,On Time
Go First,Delhi,Mumbai,1420,Afternoon,Fog,On Time
Air India,Chennai,Bangalore,359,Late Night,Clear,On Time
SpiceJet,Chennai,Mumbai,1279,Night,Clear,On Time
SpiceJet,Bangalore,Delhi,2086,Evening,Clear,On Time
Go First,Ahmedabad,Mumbai,504,Early Morning,Cloudy,On Time
Akasa Air,Kolkata,Pune,1868,Morning,Fog,On Time
Go First,Pune,Delhi,1431,Early Morning,Fog,On Time
Go First,Ahmedabad,Kolkata,2011,Early Morning,Clear,On Time
SpiceJet,Chennai,Hyderabad,612,Early Morning,Fog,Delayed
Go First,Bangalore,Hyderabad,553,Morning,Cloudy,On Time
Vistara,Ahmedabad,Kolkata,1895,Early Morning,Cloudy,On Time
Akasa Air,Kolkata,Ahmedabad,1997,Night,Fog,Delayed
IndiGo,Chennai,Delhi,2250,Night,Storm,On Time
IndiGo,Mumbai,Bangalore,1027,Night,Cloudy,On Time
Vistara,Ahmedabad,Chennai,1894,Morning,Rain,Delayed
Go First,Delhi,Mumbai,1378,Late Night,Storm,Delayed
Vistara,Ahmedabad,Kolkata,1931,Early Morning,Storm,Delayed
IndiGo,Chennai,Hyderabad,607,Evening,Storm,Delayed
IndiGo,Hyderabad,Ahmedabad,1177,Early Morning,Fog,On Time
IndiGo,Delhi,Kolkata,1526,Early Morning,Rain,Delayed
Akasa Air,Bangalore,Chennai,333,Night,Fog,On Time
Akasa Air,Delhi,Pune,1506,Late Night,Cloudy,On Time
IndiGo,Bangalore,Pune,878,Afternoon,Storm,Delayed
Air India,Delhi,Mumbai,1355,Evening,Cloudy,On Time
SpiceJet,Delhi,Hyderabad,1519,Evening,Storm,Delayed
Go First,Pune,Delhi,1505,Night,Storm,Delayed
Air India,Ahmedabad,Chennai,1882,Afternoon,Storm,On Time
SpiceJet,Hyderabad,Ahmedabad,1216,Morning,Clear,On Time
Akasa Air,Kolkata,Ahmedabad,2009,Afternoon,Cloudy,On Time
SpiceJet,Kolkata,Pune,1814,Evening,Clear,On Time
SpiceJet,Chennai,Ahmedabad,1859,Early Morning,Storm,Delayed
Air India,Delhi,Bangalore,2220,Late Night,Storm,Delayed
Vistara,Hyderabad,Chennai,615,Early Morning,Storm,On Time
Air India,Ahmedabad,Bangalore,1445,Evening,Rain,Delayed
IndiGo,Pune,Bangalore,848,Morning,Clear,On Time
Vistara,Delhi,Bangalore,2238,Late Night,Fog,Delayed
Vistara,Pune,Hyderabad,574,Early Morning,Rain,On Time
Vistara,Bangalore,Hyderabad,598,Morning,Clear,On Time
IndiGo,Delhi,Kolkata,1596,Night,Rain,On Time
Akasa Air,Delhi,Kolkata,1484,Evening,Fog,On Time
SpiceJet,Ahmedabad,Mumbai,504,Early Morning,Clear,On Time
IndiGo,Chennai,Pune,1232,Afternoon,Cloudy,Delayed
Air India,Ahmedabad,Delhi,898,Late Night,Clear,On Time
IndiGo,Bangalore,Pune,834,Night,Storm,Delayed
IndiGo,Ahmedabad,Hyderabad,1220,Early Morning,Storm,On Time
SpiceJet,Bangalore,Kolkata,1941,Night,Fog,On Time
Akasa Air,Ahmedabad,Bangalore,1456,Afternoon,Clear,On Time
Vistara,Mumbai,Bangalore,944,Night,Cloudy,On Time
Go First,Hyderabad,Chennai,623,Evening,Cloudy,On Time
Vistara,Mumbai,Hyderabad,686,Evening,Clear,On Time
Air India,Mumbai,Chennai,1298,Afternoon,Rain,On Time
SpiceJet,Chennai,Kolkata,1426,Afternoon,Storm,Delayed
Vistara,Pune,Ahmedabad,696,Night,Rain,On Time
IndiGo,Delhi,Hyderabad,1541,Early Morning,Fog,Delayed
IndiGo,Chennai,Mumbai,1383,Early Morning,Clear,Delayed
Vistara,Mumbai,Chennai,1330,Night,Fog,On Time
SpiceJet,Bangalore,Mumbai,961,Late Night,Storm,On Time
IndiGo,Mumbai,Delhi,1452,Late Night,Storm,Delayed
Akasa Air,Delhi,Pune,1492,Late Night,Storm,Delayed
Vistara,Ahmedabad,Delhi,937,Night,Rain,On Time
SpiceJet,Delhi,Kolkata,1601,Late Night,Clear,On Time
Vistara,Kolkata,Pune,1877,Early Morning,Fog,On Time
IndiGo,Kolkata,Mumbai,1604,Afternoon,Storm,Delayed
Air India,Pune,Mumbai,152,Afternoon,Rain,On Time
SpiceJet,Chennai,Ahmedabad,1951,Early Morning,Fog,Delayed
Vistara,Mumbai,Bangalore,954,Late Night,Storm,On Time
SpiceJet,Kolkata,Ahmedabad,1995,Early Morning,Cloudy,On Time
Akasa Air,Pune,Chennai,1222,Late Night,Cloudy,On Time
Akasa Air,Pune,Chennai,1195,Night,Rain,Delayed
IndiGo,Bangalore,Ahmedabad,1425,Night,Storm,Delayed
Akasa Air,Ahmedabad,Hyderabad,1191,Morning,Clear,Delayed
Go First,Hyderabad,Pune,564,Night,Cloudy,On Time
IndiGo,Ahmedabad,Bangalore,1489,Afternoon,Clear,On Time
IndiGo,Delhi,Pune,1529,Night,Clear,Delayed
SpiceJet,Mumbai,Kolkata,1587,Morning,Storm,Delayed
Vistara,Chennai,Mumbai,1346,Early Morning,Fog,On Time
SpiceJet,Kolkata,Mumbai,1726,Late Night,Rain,Delayed
Vistara,Pune,Mumbai,153,Evening,Clear,On Time
IndiGo,Chennai,Kolkata,1375,Night,Storm,On Time
Air India,Mumbai,Bangalore,1020,Early Morning,Fog,On Time
Air India,Delhi,Mumbai,1363,Afternoon,Clear,On Time
Go First,Chennai,Ahmedabad,1880,Afternoon,Fog,On Time
Akasa Air,Hyderabad,Bangalore,568,Morning,Cloudy,On Time
Go First,Bangalore,Chennai,348,Afternoon,Clear,On Time
Air India,Bangalore,Pune,828,Evening,Storm,Delayed
SpiceJet,Kolkata,Chennai,1422,Afternoon,Rain,On Time
Akasa Air,Bangalore,Mumbai,942,Evening,Cloudy,On Time
Akasa Air,Chennai,Bangalore,349,Morning,Cloudy,On Time
Air India,Pune,Kolkata,1951,Early Morning,Storm,Delayed
Go First,Mumbai,Chennai,1302,Early Morning,Clear,Delayed
Akasa Air,Kolkata,Hyderabad,1493,Morning,Clear,On Time
SpiceJet,Pune,Kolkata,1812,Late Night,Storm,On Time
Go First,Pune,Mumbai,148,Early Morning,Rain,Delayed
Air India,Hyderabad,Pune,576,Morning,Fog,Delayed
Air India,Pune,Ahmedabad,678,Night,Cloudy,Delayed
Akasa Air,Pune,Kolkata,1907,Night,Clear,On Time
Go First,Chennai,Delhi,2135,Morning,Fog,On Time
Air India,Pune,Ahmedabad,646,Late Night,Cloudy,On Time
Vistara,Bangalore,Pune,806,Morning,Storm,Delayed
Akasa Air,Mumbai,Delhi,1481,Late Night,Clear,On Time
Akasa Air,Delhi,Hyderabad,1535,Late Night,Storm,Delayed
IndiGo,Bangalore,Chennai,336,Afternoon,Rain,On Time
IndiGo,Delhi,Hyderabad,1558,Late Night,Cloudy,Delayed
Vistara,Ahmedabad,Bangalore,1458,Night,Rain,Delayed
Go First,Kolkata,Ahmedabad,1918,Early Morning,Fog,On Time
Air India,Delhi,Ahmedabad,941,Night,Rain,Delayed
Akasa Air,Hyderabad,Chennai,616,Night,Fog,On Time
IndiGo,Mumbai,Hyderabad,685,Late Night,Fog,Delayed
IndiGo,Bangalore,Hyderabad,586,Early Morning,Storm,Delayed
Vistara,Pune,Kolkata,1925,Morning,Cloudy,On Time
Go First,Hyderabad,Bangalore,582,Night,Storm,On Time
Go First,Chennai,Ahmedabad,1918,Night,Rain,Delayed
Air India,Kolkata,Ahmedabad,2027,Evening,Cloudy,Delayed
Go First,Hyderabad,Kolkata,1479,Early Morning,Rain,On Time
Vistara,Chennai,Kolkata,1426,Late Night,Storm,On Time
Air India,Bangalore,Hyderabad,548,Night,Fog,On Time
IndiGo,Hyderabad,Delhi,1509,Late Night,Cloudy,Delayed
IndiGo,Hyderabad,Kolkata,1512,Late Night,Rain,Delayed
Go First,Hyderabad,Ahmedabad,1214,Night,Fog,On Time
IndiGo,Bangalore,Hyderabad,559,Afternoon,Clear,On Time
Akasa Air,Ahmedabad,Hyderabad,1244,Evening,Cloudy,Delayed
IndiGo,Ahmedabad,Mumbai,525,Early Morning,Fog,On Time
Air India,Delhi,Bangalore,2128,Late Night,Clear,On Time
Air India,Ahmedabad,Hyderabad,1236,Late Night,Rain,Delayed
SpiceJet,Pune,Hyderabad,532,Early Morning,Clear,Delayed
Air India,Chennai,Delhi,2183,Afternoon,Cloudy,On Time
Air India,Hyderabad,Ahmedabad,1242,Morning,Cloudy,On Time
Vistara,Kolkata,Pune,1950,Morning,Storm,Delayed
Vistara,Ahmedabad,Kolkata,1984,Morning,Rain,On Time
SpiceJet,Bangalore,Chennai,356,Night,Fog,Delayed
IndiGo,Ahmedabad,Hyderabad,1284,Morning,Cloudy,On Time
Vistara,Mumbai,Chennai,1313,Night,Cloudy,On Time
Akasa Air,Ahmedabad,Bangalore,1427,Early Morning,Cloudy,Delayed
Go First,Mumbai,Hyderabad,707,Night,Fog,On Time
Vistara,Hyderabad,Chennai,637,Afternoon,Cloudy,Delayed
Vistara,Chennai,Delhi,2155,Afternoon,Storm,On Time
IndiGo,Hyderabad,Bangalore,588,Afternoon,Cloudy,On Time
Go First,Ahmedabad,Delhi,899,Late Night,Fog,On Time
Go First,Ahmedabad,Kolkata,1999,Evening,Cloudy,On Time
SpiceJet,Bangalore,Delhi,2167,Afternoon,Storm,Delayed
Go First,Ahmedabad,Hyderabad,1293,Evening,Fog,On Time
IndiGo,Bangalore,Pune,864,Night,Fog,Delayed
IndiGo,Mumbai,Kolkata,1714,Afternoon,Fog,Delayed
SpiceJet,Delhi,Kolkata,1504,Afternoon,Fog,On Time
IndiGo,Pune,Hyderabad,539,Night,Cloudy,On Time
IndiGo,Mumbai,Hyderabad,682,Afternoon,Storm,On Time
Go First,Kolkata,Pune,1959,Night,Storm,Delayed
Akasa Air,Mumbai,Kolkata,1739,Night,Storm,Delayed
Go First,Kolkata,Bangalore,1883,Late Night,Storm,Delayed
Akasa Air,Chennai,Delhi,2278,Afternoon,Clear,On Time
Go First,Hyderabad,Chennai,623,Night,Storm,Delayed
Go First,Pune,Bangalore,853,Afternoon,Fog,Delayed
Air India,Delhi,Ahmedabad,955,Afternoon,Clear,On Time
Akasa Air,Bangalore,Ahmedabad,1459,Evening,Fog,On Time
